"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Devers, Rafael",Left,646240,2024,514,589,28,138,23.4,11.2,0.276,0.525,0.358,0.883,0.278,0.529,0.369,0.371,72.5,93.2,11.6,35.1,13.1,52.4,104.614995105,97.084944842,30.4,50.9,382,60.3,41.4,24.9
"Vierling, Matt",Right,663837,2024,494,534,16,110,20.6,6.2,0.261,0.433,0.309,0.742,0.266,0.411,0.320,0.315,71.1,89.8,11.6,34.5,7.5,40.8,100.249306126,94.355465052,18.8,43.3,388,57.7,41.8,26.8
"Chisholm Jr., Jazz",Left,665862,2024,528,584,22,141,24.1,8.7,0.259,0.436,0.329,0.765,0.244,0.424,0.330,0.318,71.9,89.7,11.3,29.6,9.5,40.6,100.116611,94.457887256,28.8,47.5,388,59.2,49.7,18.8
"Neto, Zach",Right,687263,2024,512,569,21,127,22.3,6.5,0.248,0.436,0.318,0.754,0.242,0.430,0.327,0.324,70.9,88.5,12.5,29.3,8.5,38.8,100.13698267,94.273254829,26.8,49.1,389,62.6,44.7,19.3
"India, Jonathan",Right,663697,2024,503,599,14,122,20.4,12.5,0.245,0.388,0.352,0.740,0.267,0.416,0.329,0.351,71.7,87.2,13.2,39,7.9,36.4,98.910314433,93.555994134,19.5,38.6,390,59.1,43.8,26.4
"Chapman, Matt",Right,656305,2024,547,617,24,150,24.3,10,0.247,0.448,0.329,0.777,0.253,0.455,0.336,0.341,76.7,93.2,16.5,30.8,12.5,48,104.323523384,96.707462937,23.7,44.8,399,64.4,38.1,23.1
"Stott, Bryson",Left,681082,2024,477,539,11,87,16.1,9.3,0.243,0.358,0.314,0.672,0.258,0.374,0.296,0.310,68.1,87,14.6,35.8,3.8,30.8,97.214710354,92.667770808,16.7,43.7,399,63.2,41.9,23.8
"De La Cruz, Bryan",Right,650559,2024,560,594,20,160,26.9,4.5,0.236,0.386,0.273,0.659,0.249,0.437,0.285,0.310,71.8,89.6,13.4,35.5,9.4,42.2,99.972735721,94.289771517,29.8,53.6,403,64.3,40.9,24.8
"Schanuel, Nolan",Left,694384,2024,496,580,13,97,16.7,11.4,0.252,0.367,0.345,0.712,0.258,0.365,0.318,0.321,65.3,86,9.9,37,3.7,25.7,95.418709403,91.721397107,14.3,41.9,408,63.1,46.3,27.9
"Abrams, CJ",Left,682928,2024,530,590,20,125,21.2,6.6,0.240,0.426,0.309,0.735,0.250,0.417,0.317,0.322,72.2,88,15.2,33.2,7.1,39.8,99.320817353,93.802496609,24.9,53.5,410,62.8,40.2,22.7
